210,74
211,82
212,222
213,14
214,16
215,183
216,42
217,33
218,50
219,114
220,176
311,87
312,174
313,115
314,22
315,53
316,49
317,36
318,55
319,17
320,207
401,47
402,197
403,116
404,153
405,123
406,178
407,88
408,210
409,32
410,202
414,150
415,181
416,190
417,169
418,97
419,161
420,206
421,164
501,146
502,186
503,189
504,77
505,199
506,58
507,118
508,217
509,180
510,133
511,39
512,154
513,216
514,99
515,95
516,117
517,56
518,91
519,70
520,168
521,122
601,237
602,230
603,160
604,223
605,21
606,31
607,128
608,45
609,6
610,15
611,37
612,25
613,72
614,78
615,38
616,44
617,75
618,188
619,171
620,28
621,242
701,195
702,225
703,232
704,240
705,209
706,203
707,134
708,215
709,170
710,192
712,69
713,59
714,184
715,131
716,124
717,109
718,163
719,57
720,143
721,92
801,235
802,233
803,221
805,35
806,208
807,204
808,127
809,138
813,60
815,4
817,5
819,7
821,219
901,67
902,238
903,140
904,159
905,241
906,220
907,228
908,63
909,119
